timestamp,weather_text,has_precipitation,precipitation_type,is_daytime,temp_c,realfeel_temp_c,apparent_temp_c,relative_humidity,dewpoint_c,wind_direction_degrees,wind_direction_localized,wind_speed_kmh,wind_gust_kmh,uv_index,uv_index_text,cloud_cover_perc,cloud_ceiling_m,pressure_mb,wetbulb_temp_c,price_period_start,price_period_end,price_eur_per_mwh,total_sales_mwh,total_purchase_mwh
2026-01-01 00:00:00+00:00,Light rain shower,True,Rain,False,13.6,11.4,11.4,78,9.8,272,W,26.3,37.1,0,low,63,,1008.0,,2026-01-01 00:00:00+00:00,2026-01-01 00:30:00+00:00,164.5,261.6,261.6
2026-01-01 01:00:00+00:00,Patchy rain possible,True,Rain,False,13.4,11.3,11.3,76,9.2,277,W,25.9,38.5,0,low,55,,1008.0,,2026-01-01 01:00:00+00:00,2026-01-01 01:30:00+00:00,164.5,225.42,225.42
2026-01-01 02:00:00+00:00,Patchy rain possible,False,,False,13.2,11.0,11.0,72,8.3,280,W,26.3,40.3,0,low,79,,1009.0,,2026-01-01 02:00:00+00:00,2026-01-01 02:30:00+00:00,164.0,203.32,203.32
2026-01-01 03:00:00+00:00,Clear,False,,False,12.4,10.1,10.1,74,7.9,283,WNW,24.5,40.3,0,low,7,,1009.0,,2026-01-01 03:00:00+00:00,2026-01-01 03:30:00+00:00,164.0,200.07,200.06
2026-01-01 04:00:00+00:00,Clear,False,,False,12.2,9.7,9.7,74,7.6,284,WNW,25.2,41.8,0,low,5,,1009.0,,2026-01-01 04:00:00+00:00,2026-01-01 04:30:00+00:00,164.0,209.84,209.84
2026-01-01 05:00:00+00:00,Patchy rain possible,False,,False,12.1,9.5,9.5,74,7.6,280,W,26.6,42.8,0,low,81,,1009.0,,2026-01-01 05:00:00+00:00,2026-01-01 05:30:00+00:00,164.5,235.12,235.12
2026-01-01 06:00:00+00:00,Partly cloudy,False,,False,12.6,10.1,10.1,73,7.9,279,W,28.1,40.7,0,low,28,,1009.0,,2026-01-01 06:00:00+00:00,2026-01-01 06:30:00+00:00,164.0,192.42,192.42
2026-01-01 07:00:00+00:00,Patchy rain possible,False,,True,12.8,10.2,10.2,71,7.7,280,W,30.2,41.8,0,low,77,,1010.0,,2026-01-01 07:00:00+00:00,2026-01-01 07:30:00+00:00,154.0,115.8,115.8
2026-01-01 08:00:00+00:00,Patchy rain possible,False,,True,13.5,10.8,10.8,66,7.3,275,W,35.6,43.9,0,low,87,,1010.0,,2026-01-01 08:00:00+00:00,2026-01-01 08:30:00+00:00,0.0,55.62,55.62
2026-01-01 09:00:00+00:00,Patchy rain possible,False,,True,14.2,11.5,11.5,65,7.8,272,W,43.6,50.0,0,low,81,,1010.0,,2026-01-01 09:00:00+00:00,2026-01-01 09:30:00+00:00,0.0,55.64,55.64
2026-01-01 10:00:00+00:00,Partly cloudy,False,,True,14.6,11.9,11.9,58,6.5,273,W,48.2,55.4,0,low,28,,1011.0,,2026-01-01 10:00:00+00:00,2026-01-01 10:30:00+00:00,0.0,56.08,56.08
2026-01-01 11:00:00+00:00,Sunny,False,,True,14.6,11.7,11.7,56,6.0,273,W,51.8,59.8,1,low,8,,1011.0,,2026-01-01 11:00:00+00:00,2026-01-01 11:30:00+00:00,0.0,56.0,56.0
